Rho,Potential
-6.568284142071036,-0.0008422715432295432
-6.558279139569785,-0.0008513103916400627
-6.5482741370685345,-0.0008604626080614015
-6.538269134567283,-0.0008697297938770097
-6.528264132066033,-0.0008791135750403707
-6.5182591295647825,-0.0008886156024649995
-6.508254127063532,-0.0008982375524202375
-6.498249124562282,-0.0009079811269329108
-6.4882441220610305,-0.0009178480541948981
-6.47823911955978,-0.0009278400889766601
-6.468234117058529,-0.0009379590130467873
-6.4582291145572785,-0.0009482066355975996
-6.448224112056028,-0.0009585847936768621
-6.438219109554778,-0.0009690953526256475
-6.4282141070535275,-0.0009797402065223847
-6.418209104552276,-0.0009905212786331455
-6.408204102051025,-0.0010014405218681964
-6.398199099549775,-0.0010124999192448404
-6.388194097048524,-0.0010237014843566014
-6.378189094547274,-0.0010350472618487567
-6.3681840920460235,-0.0010465393279002375
-6.358179089544772,-0.0010581797907119423
-6.348174087043522,-0.0010699707910014435
-6.338169084542271,-0.00108191450250413
-6.32816408204102,-0.001094013132480743
-6.31815907953977,-0.0011062689222313753
-6.30815407703852,-0.0011186841476158486
-6.298149074537269,-0.0011312611195805195
-6.288144072036018,-0.0011440021846914512
-6.278139069534768,-0.0011569097256739539
-6.268134067033516,-0.001169986161958455
-6.258129064532266,-0.001183233950232637
-6.248124062031016,-0.0011966555849998318
-6.238119059529765,-0.0012102535991435734
-6.228114057028515,-0.0012240305644982763
-6.218109054527264,-0.0012379890924259474
-6.2081040520260125,-0.0012521318343988307
-6.198099049524762,-0.0012664614825879143
-6.188094047023512,-0.0012809807704571797
-6.178089044522261,-0.0012956924733634567
-6.168084042021011,-0.0013105994091617645
-6.15807903951976,-0.0013257044388159886
-6.148074037018509,-0.001341010467014718
-6.138069034517258,-0.0013565204427920838
-6.128064032016008,-0.0013722373601533658
-6.118059029514757,-0.001388164258705218
-6.108054027013507,-0.0014043042242901946
-6.098049024512257,-0.0014206603896254188
-6.0880440220110055,-0.001437235934945029
-6.078039019509755,-0.0014540340886461938
-6.068034017008504,-0.0014710581279383267
-6.0580290145072535,-0.0014883113794951612
-6.048024012006003,-0.0015057972201093653
-6.038019009504753,-0.001523519077349239
-6.028014007003502,-0.001541480430217125
-6.018009004502251,-0.0015596848098090486
-6.008004002001001,-0.0015781357999751265
-5.99799899949975,-0.001596837037980213
-5.987993996998499,-0.0016157922151642285
-5.977988994497249,-0.0016350050776016156
-5.9679839919959985,-0.0016544794267592377
-5.957978989494747,-0.0016742191201521042
-5.947973986993497,-0.0016942280719961782
-5.9379689844922465,-0.0017145102538575214
-5.927963981990995,-0.0017350696952969783
-5.917958979489745,-0.0017559104845095
-5.907953976988495,-0.0017770367689572712
-5.897948974487243,-0.0017984527559955956
-5.887943971985993,-0.0018201627134905563
-5.877938969484743,-0.0018421709704273686
-5.867933966983492,-0.001864481917508229
-5.857928964482241,-0.0018871000077384896
-5.847923961980991,-0.0019100297569998026
-5.83791895947974,-0.001933275744608915
-5.827913956978489,-0.0019568426138606284
-5.817908954477239,-0.0019807350725533682
-5.807903951975988,-0.002004957893495785
-5.797898949474737,-0.0020295159149926003
-5.787893946973487,-0.002054414041307908
-5.777888944472236,-0.0020796572431040113
-5.767883941970986,-0.0021052505578537154
-5.757878939469735,-0.0021311990902239657
-5.747873936968484,-0.002157508012428507
-5.737868934467234,-0.002184182564547207
-5.727863931965983,-0.002211228054809464
-5.717858929464732,-0.002238649859839023
-5.707853926963482,-0.0022664534248573783
-5.697848924462232,-0.002294644263842767
-5.68784392196098,-0.0023232279596415665
-5.67783891945973,-0.0023522101640288135
-5.66783391695848,-0.002381596597714285
-5.6578289144572285,-0.002411393050290449
-5.647823911955978,-0.0024416053801183555
-5.637818909454728,-0.0024722395141473885
-5.6278139069534765,-0.002503301447664418
-5.617808904452226,-0.0025347972439678877
-5.607803901950976,-0.002566733033961912
-5.597798899449725,-0.002599115015665294
-5.587793896948474,-0.00263194945363008
-5.577788894447224,-0.002665242678263991
-5.5677838919459735,-0.002699001085050764
-5.557778889444722,-0.002733231133662018
-5.547773886943472,-0.0027679393469540944
-5.5377688844422215,-0.002803132309842838
-5.52776388194097,-0.0028388166680488928
-5.51775887943972,-0.0028749991267057965
-5.5077538769384695,-0.002911686448822671
-5.497748874437219,-0.0029488854535928144
-5.487743871935968,-0.002986603014539195
-5.4777388694347176,-0.0030248460574871456
-5.467733866933467,-0.0030636215583542937
-5.457728864432216,-0.0031029365407469656
-5.447723861930966,-0.003142798073351913
